index,brand,model,image_absolute_path,source_url
184,Emporio Armani,Ek3203 Kids,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\184_emporio_armani_ek3203_kids.jpg,https://www.opsm.com.au/glasses/emporio-armani/ek3203-kids/8056597980623
185,Emporio Armani,Ek3205 Kids,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\185_emporio_armani_ek3205_kids.jpg,https://www.opsm.com.au/glasses/emporio-armani/ek3205-kids/8056597981798
186,Emporio Armani,EK3005,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\186_emporio_armani_ek3005.jpg,https://www.opsm.com.au/glasses/emporio-armani/ek3005/8056262072714
187,Emporio Armani,EK3005F,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\187_emporio_armani_ek3005f.jpg,https://www.opsm.com.au/glasses/emporio-armani/ek3005f/8056262075005
188,Emporio Armani,EK3006F,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\188_emporio_armani_ek3006f.jpg,https://www.opsm.com.au/glasses/emporio-armani/ek3006f/8056262075869
189,Emporio Armani,EK3006,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\189_emporio_armani_ek3006.jpg,https://www.opsm.com.au/glasses/emporio-armani/ek3006/8056262302187
190,Emporio Armani,EK3008U,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\190_emporio_armani_ek3008u.jpg,https://www.opsm.com.au/glasses/emporio-armani/ek3008u/8056262722909
191,Emporio Armani,EK3011U,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\191_emporio_armani_ek3011u.jpg,https://www.opsm.com.au/glasses/emporio-armani/ek3011u/8056262722916
192,Emporio Armani,EK3013U,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\192_emporio_armani_ek3013u.jpg,https://www.opsm.com.au/glasses/emporio-armani/ek3013u/8056262854464
193,Emporio Armani,EK3014U,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\193_emporio_armani_ek3014u.jpg,https://www.opsm.com.au/glasses/emporio-armani/ek3014u/8056262854778
194,Armani Exchange,AX1054,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\194_armani_exchange_ax1054.jpg,https://www.opsm.com.au/glasses/armani-exchange/ax1054/7895653246669
195,Armani Exchange,AX1052,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\195_armani_exchange_ax1052.jpg,https://www.opsm.com.au/glasses/armani-exchange/ax1052/8056597584975
196,Armani Exchange,AX3027,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\196_armani_exchange_ax3027.jpg,https://www.opsm.com.au/glasses/armani-exchange/ax3027/8053672866612
197,Armani Exchange,AX1018,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\197_armani_exchange_ax1018.jpg,https://www.opsm.com.au/glasses/armani-exchange/ax1018/8053672517538
198,Armani Exchange,AX3038F,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\198_armani_exchange_ax3038f.jpg,https://www.opsm.com.au/glasses/armani-exchange/ax3038f/8056262221877
199,Armani Exchange,AX1019,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\199_armani_exchange_ax1019.jpg,https://www.opsm.com.au/glasses/armani-exchange/ax1019/8053672571875
200,Armani Exchange,AX1017,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\200_armani_exchange_ax1017.jpg,https://www.opsm.com.au/glasses/armani-exchange/ax1017/7895653319776
201,Armani Exchange,AX3016,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\201_armani_exchange_ax3016.jpg,https://www.opsm.com.au/glasses/armani-exchange/ax3016/7895653290518
202,Armani Exchange,AX3077,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\202_armani_exchange_ax3077.jpg,https://www.opsm.com.au/glasses/armani-exchange/ax3077/8056597419215
203,Armani Exchange,AX3083U,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\203_armani_exchange_ax3083u.jpg,https://www.opsm.com.au/glasses/armani-exchange/ax3083u/7895653329683
204,Armani Exchange,AX3103,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\204_armani_exchange_ax3103.jpg,https://www.opsm.com.au/glasses/armani-exchange/ax3103/7895653257580
205,Armani Exchange,AX1057,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\205_armani_exchange_ax1057.jpg,https://www.opsm.com.au/glasses/armani-exchange/ax1057/7895653257696
206,Armani Exchange,AX1061,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\206_armani_exchange_ax1061.jpg,https://www.opsm.com.au/glasses/armani-exchange/ax1061/8056597911627
207,Armani Exchange,AX3106,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\207_armani_exchange_ax3106.jpg,https://www.opsm.com.au/glasses/armani-exchange/ax3106/7895653273641
208,Coach,HC6271U,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\208_coach_hc6271u.jpg,https://www.opsm.com.au/glasses/coach/hc6271u/725125535793
209,Coach,HC6139U,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\209_coach_hc6139u.jpg,https://www.opsm.com.au/glasses/coach/hc6139u/725125506168
210,Coach,HC6142,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\210_coach_hc6142.jpg,https://www.opsm.com.au/glasses/coach/hc6142/725125030106
211,Coach,HC5097,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\211_coach_hc5097.jpg,https://www.opsm.com.au/glasses/coach/hc5097/725125005630
212,Coach,HC6172,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\212_coach_hc6172.jpg,https://www.opsm.com.au/glasses/coach/hc6172/725125522830
213,Coach,HC6065,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\213_coach_hc6065.jpg,https://www.opsm.com.au/glasses/coach/hc6065/725125932219
