index,brand,model,form_note,image_path,thumb_path,image_url,page_url,source_domain,source_type,original_size
34,Ray-Ban,Rb1971V Square 1971 Optics,square optical,images/034_ray_ban_rb1971v_square_1971_optics.jpg,thumbs/034_ray_ban_rb1971v_square_1971_optics.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/cc4c1c27-1559-4a6c-9af4-b360001aa614/0RX1971V__2500__STD__shad__fr.png?impolicy=OP_PDP,https://www.opsm.com.au/glasses/ray-ban/rb1971v-square-1971-optics/8056597075626,www.opsm.com.au,retailer,1030x430
35,Ray-Ban,Rb7330F Zena Optics Bio Based,optical frame,images/035_ray_ban_rb7330f_zena_optics_bio_based.jpg,thumbs/035_ray_ban_rb7330f_zena_optics_bio_based.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/6552c30b-1a22-4270-9423-b3630032dc39/0RX7330F__8346__P21__shad__fr.png?impolicy=OP_Large,https://www.opsm.com.au/glasses/ray-ban/rb7330f-zena-optics-bio-based/8056262049686,www.opsm.com.au,retailer,2000x1000
36,Ray-Ban,Rb5383 Burbank Optics,optical frame,images/036_ray_ban_rb5383_burbank_optics.jpg,thumbs/036_ray_ban_rb5383_burbank_optics.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/be7c95d2-2e2a-4d88-9ac6-b360007b75f4/0RX5383__2144__STD__shad__fr.png?impolicy=OP_Large,https://www.opsm.com.au/glasses/ray-ban/rb5383-burbank-optics/8056597124034,www.opsm.com.au,retailer,2000x1000
37,Ray-Ban,Rb3447V Round Metal Optics,round / panto optical,images/037_ray_ban_rb3447v_round_metal_optics.jpg,thumbs/037_ray_ban_rb3447v_round_metal_optics.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/0e96d3b3-02d9-4736-9543-b3a001547573/0RX3447V__3188__P21__shad__fr.png?impolicy=OP_Large,https://www.opsm.com.au/glasses/ray-ban/rb3447v-round-metal-optics/7895653330320,www.opsm.com.au,retailer,2000x1000
38,Persol,PO3189V,optical frame,images/038_persol_po3189v.jpg,thumbs/038_persol_po3189v.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/4231d741-0da3-4f85-9848-b35f008bdccf/0PO3189V__24__P21__shad__fr.png?impolicy=OP_PDP,https://www.opsm.com.au/glasses/persol/po3189v/8053672825497,www.opsm.com.au,retailer,1030x430
39,Persol,PO3143V,optical frame,images/039_persol_po3143v.jpg,thumbs/039_persol_po3143v.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/50872fbd-c6bc-488f-8731-b35e012404a4/0PO3143V__1051__P21__shad__fr.png?impolicy=OP_Large,https://www.opsm.com.au/glasses/persol/po3143v/8053672593907,www.opsm.com.au,retailer,2000x1000
40,Persol,PO3275V,optical frame,images/040_persol_po3275v.jpg,thumbs/040_persol_po3275v.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/db3028f8-6984-4bbb-b30d-b36100ab11ed/0PO3275V__204__P21__shad__fr.png?impolicy=OP_Large,https://www.opsm.com.au/glasses/persol/po3275v/8056597529082,www.opsm.com.au,retailer,2000x1000
41,Persol,PO3292V,optical frame,images/041_persol_po3292v.jpg,thumbs/041_persol_po3292v.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/78044cf2-856e-4630-bd38-b36100f673fb/0PO3292V__95__P21__shad__fr.png?impolicy=OP_Large,https://www.opsm.com.au/glasses/persol/po3292v/8056597593656,www.opsm.com.au,retailer,2000x1000
42,Persol,Po3387V Pier,optical frame,images/042_persol_po3387v_pier.jpg,thumbs/042_persol_po3387v_pier.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/3c075c2e-e2dd-4755-8511-b3a0014ee453/0PO3387V__95__P21__shad__fr.png?impolicy=OP_PDP,https://www.opsm.com.au/glasses/persol/po3387v-pier/8056262553749,www.opsm.com.au,retailer,1030x430
43,Oliver Peoples,Ov5579U Neylan,optical frame,images/043_oliver_peoples_ov5579u_neylan.jpg,thumbs/043_oliver_peoples_ov5579u_neylan.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/d7bfd813-dd16-47aa-96ba-b412015dcd24/0OV5579U__1777__P21__shad__fr.png?impolicy=OP_PDP,https://www.opsm.com.au/glasses/oliver-peoples/ov5579u-neylan/827934507234,www.opsm.com.au,retailer,1030x430
